,label,text
9124,2,". Our leaders attempt to blame their failures on circumstances beyond their control, on false estimates by unknown, unidentifiable experts who rewrite modern history in an attempt to convince us our high standard of living, the result of thrift and hard work, is somehow selfish extravagance which we must renounce as we join in sharing scarcity"
4850,0,". You have local governments, they’re pinpointed. It’s really—you talk about—it’s like a microchip. They are pinpointed. We have local government that hopefully will do a good job. And if they don’t do a good job, I’d step in so fast. But no, they can’t do anything without the approval of the President of the United States. Q: But, Mr. President — THE PRESIDENT: Go ahead, please"
6687,2,". I should like to say to the Members of the opposition--whose numbers, if I am not mistaken, seem to have increased somewhat--that the genius of the American political system has always been best expressed through creative debate that offers choices and reasonable alternatives. Throughout our history, great Republicans and Democrats have seemed to understand this"
4530,0,". Those Italians, I love the Italians. They heard they were going to rip down their beautiful Christopher Columbus and all of a sudden they circle that thing"
5809,0,". That’s not going to happen. With these incredible resources, my administration will seek not only American energy independence that we’ve been looking for so long, but American energy dominance. And we’re going to be an exporter—exporter. We will be dominant. We will export American energy all over the world, all around the globe"
4302,0,". We’ve massively cut taxes for the middle class and small businesses to let working families keep more of their hard-earned money. We lowered our corporate tax rate from 35 percent, all the way down to 21 percent. As a result, millions of workers have received tax cut bonuses from their employers in amounts as large as $3,000"
6214,2,"My Fellow Americans: Over a year and a half ago I said this to the Congress: ""The militarists in Berlin, and Rome and Tokyo started this war, but the massed angered forces of common humanity will finish it."" Today that prophecy is in the process of being fulfilled. The massed, angered forces of common humanity are on the march"
5190,0,". Incredible. And you have some of your folks here, and they’re incredible people — and they’ve been, right from the beginning. And, again, you’re out of session. Unfortunately, I didn’t — you know, I only told these folks, “Let’s do this today.” We did a prayer breakfast this morning, and I thought that was really good. In fact, that was so good it might wipe this out"
8687,2,"and consent of the Senate; the judicial power is vested exclusively in the Supreme and other courts of the United States, except in cases of impeachment, for which purpose the accusatory power is vested in the House of Representatives and that of hearing and determining in the Senate"
8988,2,". That enterprise will presently, will immediately assume, has indeed already assumed a magnitude unprecedented in our experience. We have not the necessary instrumentalities for its prosecution; it is deemed to be doubtful whether they could be created upon an adequate scale under our present laws"
2592,0,". We have established strict new vetting procedures to keep terrorists out of the United States, and our vetting is getting tougher each month. To counter Iran and block its path to a nuclear weapon, I sanctioned the Islamic Revolutionary Guard Corps for its support of terrorism, and I declined to certify the Iran Deal to Congress"
1423,1,". And national unity isn’t just how politics and politicians vote in Washington or what the loudest voices say on cable or online. Unity is what we do together as fellow Americans. Because if we don’t stay vigilant and the conditions change, then we may have to reinstate restrictions to get back on track. And, please, we don’t want to do again. We’ve made so much progress"
2263,0,". It is a very tough period of time. There has never been a time like this where such a thing happened, where they could take it away from all of us, from me, from you, from our country. This was a fraudulent election, but we can't play into the hands of these people. We have to have peace. So go home. We love you. You are very special. You've see what happens"
134,1,". Full-scale war is not in anyone’s interest. Even as the situation has escalated, a diplomatic solution is still possible. In fact, it remains the only path to lasting security to allow the residents from both countries to return to their homes on the border safely. And that’s what working — that’s what we’re working tirelessly to achieve"
8812,2,. No officer can be created by Congress for the purpose of taking charge of it whose appointment would not by the Constitution at once devolve on the President and who would not be responsible to him for the faithful performance of his duties
3458,0,". My proudest legacy will be that of a peacemaker and unifier. That’s what I want to be: a peacemaker and a unifier. I’m pleased to say that as of yesterday, one day before I assumed office, the hostages in the Middle East are coming back home to their families. Thank you"
58,1,". We’ve already distributed 1.4 million courses of these treatments to save lives and reduce the strain on hospitals. Tonight, I’m announcing we will increase the average pace of shipment across the country of free monoclonal antibody treatments by another 50 percent. Before I close, let me say this: Communities of color are disproportionately impacted by this virus"
6476,2,". But nevertheless, as the effect of peace on the amount of duties is not yet fully ascertained, it is the more necessary to practice every useful economy and to incur no expense which may be avoided without prejudice.The collection of the internal taxes having been retarded, it will be some time before the system is closed"
1752,1,". It’s fundamental. American democracy only works only if we choose to respect the rule of law and the institutions that were set up in this chamber behind me, only if we respect our legitimate political differences. I will not stand by and watch—I will not—the will of the American people be overturned by wild conspiracy theories and baseless, evidence-free claims of fraud"
8161,2,". This new effort, which will be funded during the next 16 months, will allow us to treat one million women annually, and reduce mother-to-child transmission by 40 percent within five years or less in target countries. I thank all the members of Congress who supported this initiative, especially Senators Frist and Helms"
4244,0,". Two hundred and forty-four years ago in Philadelphia, the 56 signers of our Declaration of Independence pledged their lives, their fortunes, and their sacred honor to boldly proclaim this eternal truth: that we are all made equal by God"
1220,1,". So we’re going to move on these one at a time, try to do as many simultaneously as we can. But that’s the reason why I focused as I have"
9235,2,". Social equality is not a subject to be legislated upon, nor shall I ask that anything be done to advance the social status of the colored man, except to give him a fair chance to develop what there is good in him, give him access to the schools, and when he travels let him feel assured that his conduct will regulate the treatment and fare he will receive"
2807,0,". It’s the most important election in our history, right now. Most important election in our history. Under my administration, we will make America into the manufacturing superpower of the world, and we’ll end our reliance on China once and for all"
5542,0,". But I don’t blame China for taking advantage of us—I blame our leaders and representatives for allowing this travesty to happen. I have great respect for President Xi, and we are now working on a new trade deal with China. But it must include real, structural change to end unfair trade practices, reduce our chronic trade deficit, and protect American jobs"
8787,2,". But if there were any just ground for doubt on the face of the Constitution whether all executive officers are removable at the will of the President, it is obviated by the contemporaneous construction of the instrument and the uniform practice under it"
3007,0,". Stephanie, thank you very much, Stephanie. Thank you very much. Stephanie, we’re going to make sure that Ryan knows his dad was a true hero — New York’s Finest. And we’re going to get these cold-blooded killers and repeat offenders off our streets, and we’re going to do it fast. Got to stop it. They get out with 28 arrests. They push people into subway trains"
8826,2,". It is not to be considered that this provision in any degree altered the relation between the Secretary of the Treasury and the President as the responsible head of the executive department, or released the latter from his constitutional obligation to ""take care that the laws be faithfully executed"
1470,1,". But there are millions of other Americans who are not on Medicare, including 200,000 young people with Type I diabetes who need insulin to save their lives. Let’s finish the job this time. Let’s cap the cost of insulin at $35 a month for every American who needs it"
1090,1,". It creates jobs to upgrade our transportation infrastructure; jobs modernizing our roads, bridges, highways; jobs building ports and airports, rail corridors, transit lines. It’s clean water"
537,1,". Let’s remember: The hammer blow that brought down the Berlin Wall, the might that lifted the Iron Curtain were not the words of a single leader; it was the people of Europe who, for decades, fought to free themselves. Their sheer bravery opened the border between Austria and Hungary for the Pan-European Picnic. They joined hands for the Baltic Way. They stood for Solidarity here in Poland"
4119,0,". What other specific targeted measures is your administration thinking about taking? The Treasury Secretary, Steve Mnuchin, said today that you’re just in the “second inning” of things that you might be undergoing. THE PRESIDENT: Yeah, well, that’s true. And we are looking at many different things, as you know. You know some of them, they’ve been written about very widely"
1662,1,. This decision about Afghanistan is not just about Afghanistan. It’s about ending an era of major military operations to remake other countries
7447,2,". It is gratifying to add, from the view already taken, that there is good cause to believe that this great national object may be fully accomplished"
8764,2,". But though the accusation is thus comprehensive in the censures it implies, there is no such certainty of time, place, or circumstance as to exhibit the particular conclusion of fact or law which induced any one Senator to vote for it; and it may well have happened that whilst one Senator believed that some particular act embraced in the resolution was an arbitrary and unconstitutional"
6029,2,". That is to say, if we include all the money that your government will take in and all the money that your government will spend, your government next year will collect one-half billion dollars more than it will spend in the year 1967. I have not come here tonight to ask for pleasant luxuries or for idle pleasures"
4700,0,". Since then, on a Friday night, two weeks ago, Joe Biden issued a state-—it wasn’t him; he didn’t write it. I’m sure he doesn’t even know that it was issued. But the people from his campaign—who are smart. The people that write those little PR releases are pretty smart, reasonably good. Not the best, but they’re not bad"
1849,1,". But that’s still less than working people pay in federal taxes. It’s time to raise the corporate minimum tax to at least 21 percent — so every big corporation finally begins to pay their fair share. I also want to end tax breaks for Big Pharma, Big Oil, private jets, massive executive pay when it was only supposed to be a million bal- — a million dollars that could be deducted"
9365,2,.The one conclusion that I am ready to state with confidence is that it would be a disservice alike to the country and to the owners of the railroads to return to the old conditions unmodified. Those are conditions of restraint without development. There is nothing affirmative or helpful about them
7485,2,". The meeting with one who had borne so distinguished a part in that great struggle, and from such lofty and disinterested motives, could not fail to affect profoundly every individual and of every age. It is natural that we should all take a deep interest in his future welfare, as we do"
2542,0,".” We need you to be as visionary as Patton, who as a young man in 1917, became the first soldier assigned to the Army Tank Corps. One month into the job, he saw the future, writing, “If resistance is broken, and the line pierced, the tank must and will assume the role of pursuit cavalry and ride the enemy to death.” Under Patton’s leadership, that’s exactly what they did"
8790,2,"."" After that motion had been decided in the negative it was perceived that these words did not convey the sense of the House of Representatives in relation to the true source of the power of removal"
9344,2,".I entirely concur with the Secretary of the Treasury in recommending that the two billions needed in addition to the four billions provided by existing law be obtained from the profits which have accrued and shall accrue from war contracts and distinctively war business, but that these taxes be confined to the war profits accruing in 1918, or in 1919 from business originating in war contracts"
5750,0,". President, did you ever discuss with him State Department concerns about lax safety protocols that had been reported to the State Department from the embassy in Beijing about that laboratory? THE PRESIDENT: I don’t want to discuss what I talked to him about the laboratory. I just don’t want to discuss it. It’s inappropriate right now. Please, go ahead, in the back"
8426,2,". Her refuted pretension that Texas was not in fact an independent state, but a rebellious province, was obstinately persevered in, and her avowed purpose in commencing a war with the United States was to reconquer Texas and to restore Mexican authority over the whole territory--not to the Nueces only, but to the Sabine"
2610,0,". With the strategy I am announcing today, we are declaring that America is in the game and America is going to win. Thank you. Our strategy advances four vital national interests. First, we must protect the American people, the homeland, and our great American way of life. This strategy recognizes that we cannot secure our nation if we do not secure our borders"
8114,2,". It is sincerely to be desired that all need of coercion, in future, may cease; and that an intimate intercourse may succeed; calculated to advance the happiness of the Indians, and to attach them firmly to the United States. In order to this it seems necessary: That they should experience the benefits of an impartial administration 46 of justice"
7716,2,". Practical economy in the management of public affairs can have no adverse influence to contend with more powerful than a large surplus revenue, and the unusually large appropriations for 1837 may without doubt, independently of the extraordinary requisitions for the public service growing out of the state of our Indian relations, be in no inconsiderable degree traced to this source"
8820,2,". By reference to the practice of the Government it is found that from its first organization the Secretary of the Treasury, acting under the supervision of the President, designated the places in which the public moneys should be kept, and especially directed all transfers from place to place"
2052,0,". We rebuilt the American manufacturing base, opened up thousands of new factories, and brought back the beautiful phrase: “Made in the USA.” To make life better for working families, we doubled the child tax credit and signed the largest-ever expansion of funding for childcare and development"
7240,2,". In view of the keen, widespread interest now felt in the United States in a system of compensation for industrial accidents to supplant our present thoroughly unsatisfactory system of employers' liability , I recommend that the International Congress on Industrial Insurance be invited to hold its meeting in 1913 in Washington, and that an appropriation of $10,000 be made to cover the necessary"
6499,2,". So our test is not whether we shrink from our country's cause when the dangers to us are obvious and dose at hand, but, rather, whether we carry on when they seem obscure and distant--and some think that it is safe to lay down our burdens"
2196,0,". Our spirit is still young, the sun is still rising, God’s grace is still shining, and, my fellow Americans, the best is yet to come. Thank you. God Bless You. And God Bless America. Thank you very much. , limited_html"
8804,2,"."" But at the time of the organization of the Treasury Department an incident occurred which distinctly evinces the unanimous concurrence of the First Congress in the principle that the Treasury Department is wholly executive in its character and responsibilities"
1077,1,". Grandparents hugging their children and grandchildren instead of pressing hands against a window to say goodbye. It means everything. Those things mean everything. You know, there’s still—you all know it; you know it better than any group of Americans—there’s still more work to do to beat this virus. We can’t let our guard down"
1342,1,". It’s who we are. So I see stiff competition with China. China has an overall goal, and I don’t criticize them for the goal, but they have an overall goal to become the leading country in the world, the wealthiest country in the world, and the most powerful country in the world. That’s not going to happen on my watch because the United States are going to continue to grow and expand. Q All right"
6228,2,. And behind all these were the railroad lines and the highways here back home that carried the men and the munitions to the ports of embarkation -- there were the factories and the mines and the farms here back home that turned out the materials -- there were the training camps here back home where the men learned how to perform the strange and difficult and dangerous tasks which were to meet
293,1,". We can deliver real results for real people. We see in ways that really matter each and every day, to each person out there. And we’re taking a monumental step forward to build back better as a nation. I want to thank everyone who helped make this happen: Vice President Harris, my Cabinet members, my White House team, Jill, Doug, our First Lady, and our — First Lady and our Second Husband"
3160,0,". A lot of positive things are going on. We’re working on a summit. And you know all about the summit. It will be in Vietnam — Hanoi. And we will — we’ll be meeting in Hanoi. We’ll be meeting in Hanoi. I think a lot of you will be going, I suspect. And I hope we have the same good luck as we had in the first summit. A lot was done in the first summit. No more rockets going up"
5532,0,". When Elvin was a boy, he and his family legally immigrated to the United States from the Dominican Republic. At the age of eight, Elvin told his dad he wanted to become a Special Agent. Today, he leads investigations into the scourge of international sex trafficking. Elvin says: “If I can make sure these young girls get their justice, I’ve done my job"
2566,0,". We comfort the grieving and the wounded. And we hurt for the entire community of Parkland, Florida that is now in shock, in pain, and searching for answers. To law enforcement, first responders, and teachers who responded so bravely in the face of danger: We thank you for your courage"
2664,0,".” This week also brought extraordinary progress to nations of our own hemisphere. In recent days, we’ve achieved historic asylum cooperation agreements with El Salvador, Guatemala, and Honduras. We were with El Salvador today. A great young gentleman became the President. He’s strong and tough, and he’s taking care of crime. He was really something today. I was very impressed with him"
8032,2,". In addition to the important bills that became laws before the adjournment of the last session, some other bills of the highest importance were well advanced toward a final vote and now stand upon the calendars of the two Houses in favored positions"
8957,2,".I then recommended:First, immediate provision for the enlargement and administrative reorganization of the Interstate Commerce Commission along the lines embodied in the bill recently passed by the House of Representatives and now awaiting action by the Senate; in order that the Commission may be enabled to deal with the many great and various duties now devolving upon it with a promptness and"
5923,2,"in advanced phase, would be forthwith offered to Cuba, without waiting for the war to end, and that more humane methods should thenceforth prevail in the conduct of hostilities"
8620,2,". Should it be deemed proper to impose such duties with a view to raise revenue to meet the expenses of the war with Mexico or to avoid to that extent the creation of a public debt, they may be repealed when the emergency which gave rise to them shall cease to exist, and constitute no part of the permanent policy of the country"
8226,2,". They didn't find anything. But as they were leaving, just on a hunch, they turned back to the baby in the crib and took down the diapers, and there was the stash of heroin. The evidence was thrown out of court and the couple went free because the baby hadn't given permission for the violation of its constitutional rights"
1385,1,". But I’m also thinking about everyone else who lost this past year to natural causes, by cruel fate of accident, or other diseases. They, too, died alone. They, too, leave loved ones behind who are hurting badly. You know, you’ve often heard me say before, I talk about the longest walk any parent can make is up a short flight of stairs to his child’s bedroom to say, “I’m sorry. I lost my job"
1492,1,". It is exploitation. Last year I cracked down on foreign shipping companies that were making you pay higher prices for everyday goods coming into our country. I signed a bipartisan bill that cut shipping costs by 90%, helping American farmers, businesses, and consumers. Let’s finish the job"
76,1,". But I also know they are not new. Our history has been a constant struggle between the American ideal that we are all created equal and the harsh, ugly reality that racism, nativism, fear, and demonization have long torn us apart. The battle is perennial. Victory is never assured"
2123,0,". Janiyah. Janiyah’s mom, Stephanie, is a single parent. She would do anything to give her daughter a better future. But last year, that future was put further out of reach when Pennsylvania’s governor vetoed legislation to expand school choice to 50,000 children. Janiyah and Stephanie are in the Gallery. Stephanie, thank you so much for being here with your beautiful daughter. Thank you very much"
2549,0,". After years of devastating budget cuts and a military that was totally depleted from these endless wars, we have invested over 2 trillion — trillion; that’s with a “T” — dollars in the most powerful fighting force, by far, on the planet Earth"
8344,2,". Although the payment of the sum thus liquidated and confessedly due by Mexico to our citizens as indemnity for acknowledged acts of outrage and wrong was secured by treaty, the obligations of which are ever held sacred by all just nations, yet Mexico has violated this solemn engagement by failing and refusing to make the payment"
